Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (�),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
17/01/2020,"APT 1 COILL RUA, GREENPARK WEST, MULLINGAR",,Westmeath,"�1,081,500.00",Yes,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"APT 12 MATUIRE, MOUNT ANVILLE RD, CLONSKEAGH DUBLIN 14",Dublin 14,Dublin,"�370,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"APT 14 - BLOCK 4, ROSEBANK COURT, CLONDALKIN",,Dublin,"�168,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"APT 1, 30 WEXFORD ST, DUBLIN 2",Dublin 2,Dublin,"�960,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"APT 1, ISLAND HOUSE, MORRISONS QUAY",,Cork,"�116,500.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"Apt 324  Block 2The Elms, Trimbleston, Goatstown Road",,Dublin,"�484,581.50",No,Yes,New Dwelling house /Apartment,
17/01/2020,"APT 3, ISLAND HOUSE, MORRISONS QUAY",,Cork,"�198,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"APT 3, PARKVIEW VILLAS, KILMALUM RD",,Wicklow,"�179,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"APT 4010 BROOKFIELD HALL, STUDENT ACCOMODATION, CASTLETROY",,Limerick,"�63,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"APT. 2 BLOCK 3, VALENTIA HARBOUR APARTMENTS, THE WATERMARQUE CAHERCIVEEN",,Kerry,"�75,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"ARDCARNE CHURCH LODGE, ARDCARNE, ROSCOMMON",,Roscommon,"�160,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"ARDEVIN, CLONROADMORE, ENNIS",,Clare,"�216,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"ASHBROOK, CREAN, NEWCASTLE WEST",,Limerick,"�300,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"ASHDOONAN, SILCHESTER RD GLENAGEARY, DUBLIN",,Dublin,"�1,940,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"ASHFIELD, ROSLEVAN, ENNIS",,Clare,"�295,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"BALLINCLEVA, BALLINAHOWN, GALWAY",,Galway,"�226,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"Ballinclogher East, Lixnaw",,Kerry,"�159,000.00",No,No,New Dwelling house /Apartment,
17/01/2020,"BALLYKILDA, KILALOE, CO CLARE",,Clare,"�250,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"BELMONT, ARDNAGEEHY BEG, BANTRY",,Cork,"�210,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"BLYND QUAY, PASSAGE EAST, WATERFORD",,Waterford,"�240,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"BRACKWANSHAGH, KNOCKMORE, BALLINA",,Mayo,"�260,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"BROOK COTTAGE, SAOIRSE, SIXMILEBRIDGE",,Clare,"�265,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"BUNRATTY WOODS HOUSE, BUNRATTY, CLARE",,Clare,"�525,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"CARNAMORE ROAD, DUNGLOE, CO DUBLIN",,Donegal,"�150,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"CASTLEROE, MAGANEY, ATHY",,Kildare,"�220,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"CEANNRUA, KNOCKMARK, DRUMREE",,Meath,"�380,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"CLOONADUFF, PATRICKSWELL, LIMERICK",,Limerick,"�255,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"CLOON, BALLYHAR, KILLARNEY",,Kerry,"�290,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"CLOUGH, DOON, TRALEE",,Kerry,"�400,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"CORBANE, NEW INN, BALLINASLOE",,Galway,"�40,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"CORNAGILL, LETTERKENNY, DONEGAL",,Donegal,"�540,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"CORNARONE MIDDLE, INVERIN, COUNTY GALWAY",,Galway,"�82,500.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"CORNARONE, INVERIN, GALWAY",,Galway,"�226,500.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"CORRAVOGGY, KILL, COOTEHILL",,Cavan,"�399,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"CROBOY, HILL OF DOWN, ENFIELD",,Meath,"�330,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"CURRAGHTARSNA, FETHARD, TIPPERARY",,Tipperary,"�117,500.00",Yes,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"CURRINARA, FOXFORD, MAYO",,Mayo,"�380,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"DEERPARK, BALLYCRISSANE, BALLINASLOE",,Galway,"�55,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"DENNYSTOWN, LETTERKENNY, DONEGAL",,Donegal,"�435,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"DONISHALL, CARNEW, WICKLOW",,Wexford,"�240,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"DOONE, GURTEEN, CO SLIGO",,Sligo,"�116,250.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"ERRIS, 9 WESTBURY, CLAREMORRIS",,Mayo,"�250,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"FERNBROOK HOUSE, HAWKFIELD, NEWBRIDGE",,Kildare,"�507,250.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"FURNISH, LETTERMULLEN, GALWAY",,Galway,"�97,500.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"GORTNAGASHEL, GOLEEN, COUNTY CORK",,Cork,"�135,000.00",No,Yes,New Dwelling house /Apartment,
17/01/2020,"GORTNAGREE, KELLS, CO KERRY",,Kerry,"�166,500.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"GOULYDUFF, ATHY, KILDARE",,Kildare,"�205,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"GRANGE, BARNA, THURLES",,Tipperary,"�94,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"HOLLYBANK, LISNALTY, BALLYCLOUGH",,Limerick,"�610,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"KILKILLOGUE, MULLAGHMORE, CO SLIGO",,Sligo,"�218,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"KILLAMORAN, GORT, GALWAY",,Galway,"�209,500.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"KILMACREDOCK, MAYNOOTH, KILDARE",,Kildare,"�459,563.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"KNOCKFORLAGH, BALLINURE, THURLES",,Tipperary,"�415,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"MAIN STREET, SHANAGOLDEN, CO LIMERICK",,Limerick,"�65,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"MILLVIEW, DANESFORT RD, BENNETTSBRIDGE",,Kilkenny,"�510,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"MITCHELSTOWN, DELVIN, WESTMEATH",,Westmeath,"�292,500.00",No,No,Second-Hand Dwelling house /Apartment,
